Company,Period,Risk Score,Total Employees,Wage_Status,Health_Status,Women_Safety,Strategic_Action,Strike_Risk,Top_Vendors,Labour_Provision,Top_Products,Major_Customers,Labour_Provision_Desc,Workforce_Turnover
Mahindra & Mahindra Financial Services Limited,FY2025,Medium,"25,261",Aggregated Data,COMPLIANT (Inferred),COMPLIANT (Inferred),Review and enhance the employee benefit expenses breakdown to ensure compliance with the 50% rule.,,,,,,,
Kotak Mahindra Bank Limited,Q3FY25,Medium,,Aggregated Data,DATA_GAP,COMPLIANT (Inferred),Conduct a comprehensive labor compliance audit to identify gaps and areas for improvement.,,,,,,,
Tech Mahindra,FY25,Medium,,Aggregated Data,COMPLIANT (Inferred),COMPLIANT (Inferred),Ensure transparent reporting of wage components to comply with the 50% rule under the Code on Wages.,,,,,,,
Bajaj Auto Ltd.,FY 2024-25,Medium,,Aggregated Data,COMPLIANT,,Address any identified non-compliances through corrective actions and process improvements.,,,,,,,
Bosch Limited,FY 2023-24,Medium,,COMPLIANT,COMPLIANT,,Conduct Form V compliance audit for contract labor. Increase supplier assessment coverage to 100%.,,,,,,,
Ford,2024,Medium,,DATA_GAP,COMPLIANT,,"Implement a comprehensive women's safety policy, including POSH compliance and safe transport, especially for night shifts.",,,,,,,
Tata Technologies,FY 2024-25,Medium,,COMPLIANT,COMPLIANT,,Conduct Form V compliance audit for contract labor. Launch targeted diversity hiring to improve female representation.,,,,,,,
Volkswagen,FY2024-2025,Medium,,COMPLIANT,DATA_GAP,,"Conduct detailed audit of all suppliers to ensure compliance with Code of Conduct, particularly regarding working hours and safety.",,,,,,,
Toyota Industries,FY2025,Medium,,COMPLIANT,COMPLIANT,,Conduct a detailed audit of the exit process to ensure compliance with labor laws and fair practices.,,,,,,,
Honda,"FYE March 31, 2024",Medium,,DATA_GAP,COMPLIANT,,Conduct a detailed workforce analysis to determine the representation of women in different roles and levels within the organization and launch targeted diversity hiring initiatives to address any gender imbalances.,,,,,,,
Mahindra & Mahindra Ltd,FY2025,Moderate,,Compliant,Compliant,,Enhance monitoring and reporting of supplier compliance with labor and human rights standards to mitigate principal employer liability risks.,Compliant,,,,,,
Maruti Suzuki Ltd,01/04/2024 to 31/03/2025,Moderate,,Compliant,Compliant,,Strengthen equal pay practices by conducting a comprehensive pay equity analysis and implementing corrective measures to close the gender pay gap.,Compliant,,,,,,
Bajaj Holdings & Investment Limited,2023-24,Medium,,,Positive,,Increase welfare spending to align with industry standards and improve employee satisfaction.,Compliant,,,,,,
Mahindra & Mahindra Ltd,"April 1, 2024, to March 31, 2025",Medium,,Compliant,Compliant,,Reduce pending consumer complaints to improve operational efficiency and brand reputation.,Compliant,,,,,,
Maruti Suzuki Ltd,FY 2024-25,Moderate,,Compliant,Compliant,,Reduce the number of pending consumer complaints by improving customer service processes and response times.,Compliant,,,,,,
Ashok Leyland,FY 2024-25,Moderate,,Compliant,Compliant,,Close gender pay gap,Not Disclosed,,,,,,
Ford,"December 31, 2024",Moderate,,Not Disclosed,Positive,,"Enhance supplier assessment coverage to include all categories of suppliers, with a focus on high-risk areas and industries.",Risk Identified,,,,,,
Honda,"April 1, 2023, to March 31, 2024",Moderate,,Not Disclosed,Compliant,,"Enhance due diligence processes to ensure comprehensive assessment of health and safety in the supply chain, explicitly addressing exclusions.",Risk Identified,,,,,,
Tata Motors Ltd,FY2024-25,Medium,,Compliant,Compliant,,Reduce pending consumer complaints,Compliant,,,,,,
Bajaj Auto Ltd,FY 2024-25,Moderate,,Compliant,Compliant,,Reduce pending consumer complaints by improving product quality and service delivery processes.,Compliant,,,,,,
Bajaj Auto Ltd,FY2025,Moderate,,Not Disclosed,Positive,,Enhance supply chain due diligence to ensure all partners adhere to ethical labor practices and environmental standards.,Not Disclosed,,,,,,
Bajaj Auto Ltd.,,,,Not Disclosed,Not Disclosed,,Assess and address the impact of the new labor code on wage definitions and gratuity obligations.,Not Disclosed,"Varroc, Bosch, Endurance",,,,,
Bajaj Auto Ltd.,November 18,Medium,,Not Disclosed,Not Disclosed,,Conduct a thorough review of wage definitions under the new labor code to ensure compliance and avoid future exceptional charges.,Not Disclosed,"S R B C & CO LLP, Shyamprasad D Limaye, R.B. Laddha & Co, Citibank N A, Standard Chartered Bank",,,,,
Bajaj Auto Ltd,2024-2025,Medium,,Compliant,Compliant,,"Enhance transparency in reporting specific labor metrics, such as gender pay equity.",,"Varroc, Endurance, Bosch",,,,,
Ashok Leyland Ltd,FY 2024-2025,Medium,,Not Disclosed,Compliant,,Conduct a comprehensive assessment of labor practices across the supply chain to identify and mitigate potential risks related to forced labor and human rights violations.,Not Disclosed,"TVS Vehicle Mobility Solution Private Limited, TVS Trucks and Buses Private Limited",,,,,
Ashok Leyland Ltd,Q3 2025-2026,Medium,,Not Disclosed,Compliant,,Conduct a comprehensive equal pay audit to identify and address any gender-based pay disparities.,Compliant,"TVS Vehicle Mobility Solution Private Limited, TVS Trucks and Buses Private Limited",â‚¹308.48 Crores,"HIPPO, TAURUS, AVTR, Bada Dost",,Impact of new Labour Codes,
Ashok Leyland Ltd,FY 2024-25,Medium,,Compliant,Compliant,,"Develop and implement a plan to address the pay gap between men and women, ensuring equitable compensation across all levels.",Compliant,"TVS Vehicle Mobility Solution Private Limited, TVS Trucks and Buses Private Limited, Hinduja Renewables, Nidec, CALB",308.48 Crores,"BOSS Electric, AVTR 55T Electric, Hydrogen ICE, Fuel Cell buses and trucks, LNG, CNG","Indian Army, Amazon, Biocon, DB Schenker, Reliance, NTPC, Adani, Mahanagar Gas Limited",the Incremental effect comprising gratuity and compensated absences aggregating,
Bajaj Auto Ltd,FY2024-25,,,Compliant,Compliant,,Improve gender diversity across all levels of the organization.,,Refer to Annual Report Note: Related Party Disclosures,INR61 crores,"Pulsar, Dominar, KTM, Husqvarna, Triumph, Freedom 125, Chetak, GoGo",,"pursuant to the amendment in the definition of wages under the new labour code, we recognized INR61 crores as a onetime exceptional charge towards the past service cost arising from the changes introduced under the new labour code. This is essentially towards gratuity.",95%
Bosch,FY 2023-24,Moderate,,Compliant,Compliant,,Enhance disclosures on gender pay equity to demonstrate commitment to fair compensation practices.,Compliant,"TVS, Hero MotoCorp",,"Vehicle Control Unit (VCU), Electric coolant pump, Engine Management Systems, Engine Control Unit, Fuel Injector, Lambda sensor, Pressure sensor","Automotive OEMs (Original Equipment Manufacturers) in the Passenger Car, Commercial Car, Tractors, Two-Wheeler segments",,7%
Ford Motor Company,"September 30, 2023",Medium,,,,,"Improve transparency and reporting on workforce demographics, including gender pay ratios.",Risk Identified,Refer to Annual Report Note: Related Party Disclosures,,"Ranger, Bronco, Explorer, Aviator, Super Duty, Expedition, Navigator, Mustang Mach-E, F-150, Transit",,,
Honda,2025,,,Compliant,Compliant,,"Establish clear, measurable targets for gender diversity in management and track progress against these targets.",Compliant,Refer to Annual Report Note: Related Party Disclosures,,"Motorcycles, Automobiles, Power Products, Aircraft",,,
Hyundai Motor India Limited,FY 2024-25,Medium,,Compliant,Compliant,,Improve gender diversity and pay equity across all levels of the organization.,,"TVS, Hinduja Tech, Switch Mobility",,"Hyundai IONIQ 5, TUCSON, ALCAZAR, CRETA, CRETA Electric, VENUE, EXTER, SANTRO, i10, i20, VERNA, Grand i10 NIOS",,,5.00%
Maruti Suzuki India Ltd,FY 2024-25,Medium,,Compliant,Compliant,,Enhance gender diversity in key management positions.,,Refer to Annual Report Note: Related Party Disclosures,"5,939 mn",,,employee benefit expenses include one off expense related to new labour code,3.99%
Tata Motors Ltd,FY 2024-25,Medium,,Compliant,Compliant,,Conduct a comprehensive equal pay audit to identify and address gender pay gaps.,Compliant,"TVS, Hinduja Tech, Switch Mobility",482 Crores,,,"The incremental impact consisting of gratuity of '{482 crores and long-term compensated absences of ""92 crores primarily arises due to change in wage definition.",7.6
Hero MotoCorp,FY 2024-25,Medium,,Compliant,Compliant,,Enhance transparency in wage disclosures and ensure equal pay for equal work.,,"Rockman Industries Ltd., Marelli Europe S.p.A",Rs.119 Crore,"HF Deluxe, Passion+, Splendor+ XTEC, HF 100, Splendor+, Splendor+ XTEC 2.0, Passion Pro, Super Splendor, Glamour XTEC, Passion XTEC, Super Splendor XTEC, Glamour Canvas, Xtreme 160R 4V, Xpulse 200 4V, Xtreme 250R, Xtreme 160R, Karizma XMR, Xpulse 210, Mavrick 440, Xoom, Xoom 125, Destini Prime, New Destini 125, VIDA V2 PRO, VIDA V2 PLUS, Xoom 160, Pleasure XTEC+, VIDA V2 LITE, Fatboy, Street Glide Touring Bagger, Heritage Classic, Softail Cruiser, Fatbob Cruiser, Road Glide Touring Bagger, Nightster Sport, Nightster Special Sport, Pan America, Sportster S Performance Cruiser, X440",Indian Army,impact of four New Labour Codes,12.86 %
TVS Motor Company,FY 2024-25,Medium,,Compliant,Compliant,,Conduct regular and thorough audits of suppliers to ensure compliance with labor laws and human rights standards.,Compliant,"TVS Holdings Limited, Sundaram Auto Components Limited, TVS Credit Services Limited, TVS Motor Services Limited, TVS Electric Mobility Limited",Rs0.4bn,,,Exceptional expenses due to the new labor codes,8.26
Royal Enfield,FY2024-2025,Medium,,Not Disclosed,Compliant,,Implement a comprehensive equal pay policy and conduct regular gender pay gap analyses.,Not Disclosed,"Eicher Motors Limited, Royal Enfield Europe B.V.",,"Guerrilla 450, Hunter 350, Meteor 350, Super Meteor 650, Interceptor 650, Continental GT 650, Shotgun 650, Himalayan adventure tourer, Scram 411 ADV Crossover, Bullet 350, Classic 350",,,
Ola Electric,FY 2024-25,Moderate,,Compliant,Compliant,,Strengthen supply chain due diligence to ensure responsible sourcing and mitigate risks related to environmental and social impacts.,Compliant,Refer to Annual Report Note: Related Party Disclosures,N/A,Electric Scooters,"Individual consumers (B2C), Commercial operators (B2B)",N/A,54%
